timestamp,activity,x_gyro,y_gyro,z_gyro,x_accel,y_accel,z_accel
161353,sitting,-8080,3188,-14196,-447,-13,-6
161854,sitting,-8156,3268,-14064,-430,-19,17
162355,sitting,-8224,3248,-14060,-439,-28,2
162856,sitting,-8220,3256,-14136,-433,-22,-16
163357,sitting,-8172,3236,-14060,-427,-7,9
163858,sitting,-8184,3232,-14236,-422,-6,4
164359,sitting,-8100,3168,-14064,-432,-36,15
164860,sitting,-8192,3184,-14164,-446,-4,-28
165361,sitting,-8256,3164,-14036,-434,6,6
165862,sitting,-8192,3184,-14204,-423,-25,14
166363,sitting,-8112,3280,-14276,-433,8,-7
166864,sitting,-8140,3200,-14180,-466,-4,7
167365,sitting,-8172,3252,-14060,-463,-18,10
167866,sitting,-8240,3204,-14192,-435,-16,-23
168367,sitting,-8020,3260,-14164,-448,-19,-16
168868,sitting,-8240,3296,-14132,-446,-36,-2
169369,sitting,-8220,3228,-14168,-436,-23,-5
169870,sitting,-8136,3132,-14164,-463,2,24
170371,sitting,-8176,3196,-14048,-433,7,-12
170872,sitting,-8248,3152,-14152,-422,-41,1
171373,sitting,-8208,3132,-14100,-455,-29,17
171874,sitting,-8196,3252,-14160,-454,-32,-9
172375,sitting,-8120,3256,-14200,-433,0,18
172876,sitting,-8052,3156,-14156,-441,-27,-7
173377,sitting,-8176,3348,-14108,-452,-3,14
173878,sitting,-8156,3228,-14148,-452,-11,4
174379,sitting,-8152,3188,-14152,-440,-39,0
174880,sitting,-8140,3196,-14208,-419,-1,1
175381,sitting,-8092,3208,-14240,-432,-5,-6
175882,sitting,-8220,3080,-14236,-400,-18,-18
176383,sitting,-8288,3288,-14108,-426,-3,20
176884,sitting,-8128,3260,-14188,-437,8,7
177385,sitting,-8084,3136,-14296,-439,-16,16
177886,sitting,-8176,3248,-14136,-429,6,13
178387,sitting,-8192,3216,-14088,-421,-33,-33
178888,sitting,-8232,3136,-14032,-417,3,15
179389,sitting,-8160,3228,-14064,-453,10,-9
179890,sitting,-8180,3192,-14124,-442,-27,15
180391,sitting,-8152,3184,-14244,-439,-15,9
180892,sitting,-8132,3240,-14160,-437,-41,20
181393,sitting,-8224,3232,-14108,-421,7,-5
181894,sitting,-8188,3244,-14132,-449,-23,-4
182395,sitting,-8176,3200,-14148,-416,-7,15
182896,sitting,-8236,3200,-14156,-437,-13,5
183397,sitting,-8208,3316,-14308,-454,-30,-8
183898,sitting,-8248,3200,-14100,-451,-20,-9
184399,sitting,-8164,3212,-14304,-438,8,-37
184900,sitting,-8204,3252,-14108,-492,-26,28
185401,sitting,-8220,3268,-14260,-434,-57,-6
185902,sitting,-8144,3132,-14144,-436,-35,-3
186403,sitting,-8168,3192,-14024,-441,-15,11
186904,sitting,-8192,3208,-14264,-456,5,-3
187405,sitting,-8196,3252,-14092,-444,2,0
187906,sitting,-8112,3180,-14212,-422,-47,3
188407,sitting,-8156,3140,-14064,-423,-1,15
188908,sitting,-8256,3152,-14200,-427,-22,8
189409,sitting,-8092,3156,-14256,-429,-28,-12
189910,sitting,-8144,3240,-14276,-415,-1,18
190411,sitting,-8168,3268,-14224,-448,-32,3
190912,sitting,-8148,3240,-14068,-454,-11,-7
191413,sitting,-8144,3104,-14176,-430,-7,-6
191914,sitting,-8044,3204,-14104,-450,-17,-38
192415,sitting,-8152,3236,-14092,-441,-33,-17
192916,sitting,-8152,3148,-14192,-424,-19,7
193417,sitting,-8172,3176,-14120,-421,-19,6
193918,sitting,-8108,3044,-14176,-428,7,-8
